article_url,article_doi,is_cited,num_cit,dataset_url,dataset_id,abstract,citation_reference,notes,tips
https://benthamopen.com/ABSTRACT/TOOCEAJ-4-115,10.2174/1874252101004010115,y,2,http://arcticdata.io/catalog/view/doi:10.5065/D6TT4P1W,doi:10.5065/D6TT4P1W,"As part of the Shelf-Basin Interactions (SBI) project, early spring sampling was performed in the eastern area of the SBI study area using aircraft. Flights began on 1 April 2003 and finished on 15 April. During this time, we sampled 42 sites (49 Conductivity Temperature Depth (CTD) casts) on a series of 5 transect lines which bracketed and were parallel to the SBI current meter mooring line located at 152 W longitude. Stations were about 10 km apart along each transect line. A map of the achieved sampling sites is available (file: Sw3loc4a.pdf) and station locations, sampling dates and times are found in the file, Sw3vit-4.csv. At sites 10 through 49, a Seabird CTD (SBE-25) and Satlantic In-Situ Ultraviolet Spectrophotometer (ISUS) nitrate analyzer with a water sampling bottle was deployed through an 8 inch hole augured through the pack-ice. Continuous profiles of pressure, temperature, salinity, and ISUS-sensed nitrate concentrations were made from the ice hole to either the sediment surface or to about 390 m. The ISUS was not used at CTD casts 1 through 9. CTD data were processed with Seabird software (Seasoft) and the data binned into 0.5 dbar layers. All basic CTD data are contained in another dataset as well as the nutrient data collected from the water sampling bottles. The ISUS samples at a relatively slow rate (3.5 Hz), and even though repeated vertical profiles were collected at each site, not all pressure bins contained ISUS measurements. Data herein include basic CTD data as well as the ISUS data (in its respective bin) converted to nitrate concentration, and the continuous ISUS nitrate profiles constructed by linearly interpolating binned data between two vertically adjacent ISUS averages. A complete description of the evaluation procedure for these ISUS data is being prepared for publication, so data herein are considered to be in draft form. The data are in csv format."," A complete description of the evaluation procedure for these ISUS data is being prepared for publication, so data herein are considered to be in draft form",,"for all datasets search full dataset name, names of individual files, nsf award #"
https://benthamopen.com/ABSTRACT/TOOCEAJ-3-59,10.2174/1874252100903010059,y,2,http://arcticdata.io/catalog/view/doi:10.5065/D6TT4P1W,doi:10.5065/D6TT4P1W,"As part of the Shelf-Basin Interactions (SBI) project, early spring sampling was performed in the eastern area of the SBI study area using aircraft. Flights began on 1 April 2003 and finished on 15 April. During this time, we sampled 42 sites (49 Conductivity Temperature Depth (CTD) casts) on a series of 5 transect lines which bracketed and were parallel to the SBI current meter mooring line located at 152 W longitude. Stations were about 10 km apart along each transect line. A map of the achieved sampling sites is available (file: Sw3loc4a.pdf) and station locations, sampling dates and times are found in the file, Sw3vit-4.csv. At sites 10 through 49, a Seabird CTD (SBE-25) and Satlantic In-Situ Ultraviolet Spectrophotometer (ISUS) nitrate analyzer with a water sampling bottle was deployed through an 8 inch hole augured through the pack-ice. Continuous profiles of pressure, temperature, salinity, and ISUS-sensed nitrate concentrations were made from the ice hole to either the sediment surface or to about 390 m. The ISUS was not used at CTD casts 1 through 9. CTD data were processed with Seabird software (Seasoft) and the data binned into 0.5 dbar layers. All basic CTD data are contained in another dataset as well as the nutrient data collected from the water sampling bottles. The ISUS samples at a relatively slow rate (3.5 Hz), and even though repeated vertical profiles were collected at each site, not all pressure bins contained ISUS measurements. Data herein include basic CTD data as well as the ISUS data (in its respective bin) converted to nitrate concentration, and the continuous ISUS nitrate profiles constructed by linearly interpolating binned data between two vertically adjacent ISUS averages. A complete description of the evaluation procedure for these ISUS data is being prepared for publication, so data herein are considered to be in draft form. The data are in csv format."," A complete description of the evaluation procedure for these ISUS data is being prepared for publication, so data herein are considered to be in draft form",,
https://ecoss.nau.edu/wp-content/uploads/2018/04/1-s2.0-S0378112718300094-main.pdf,10.1016/j.foreco.2018.03.008,y,1,http://arcticdata.io/catalog/view/urn:uuid:7c3c5c36-5227-4e90-a7de-5033feb38706,urn:uuid:7c3c5c36-5227-4e90-a7de-5033feb38706,"Global change models predict high-latitude boreal forests will become increasingly susceptible to fire threat due to climate warming. Because boreal forests contain a large proportion of terrestrial carbon (C) stocks, any change to the fire regime will likely have substantial impacts on C exchange and storage. This project will utilize a chronosequence approach to examine how fire and permafrost interact to influence forest regeneration and C sequestration within larch forests near arctic treeline in Far Northeastern Siberia. The hypothesis is that post-fire soil organic layer depth mediates C storage through indirect impacts on forest regeneration because of its role as a thermal regulator and barrier to seed germination. This research will build on investigations initiated in summer 2010 and will be compared to recent and ongoing research within Interior Alaska. A cross-polar comparison will increase our understanding of how C dynamics under an altered fire regime vary across boreal regions with differing permafrost dynamics and vegetation types. This fellowship will support the post-doctoral fellow?s career goals by providing training in arctic boreal forest ecology, experience in executing independent research, skills in mentoring undergraduate students, and an opportunity to collaborate with arctic researchers from within and outside the U.S. By addressing fundamental questions concerning how an altered fire regime indirectly impacts C cycling of Siberian larch forests, this study will provide much needed information about an ecologically important yet understudied region and will improve our ability to predict the impacts of climate change and altered fire regimes on arctic ecosystems. Siberian larch forests comprise 20% of all boreal forest ecosystems and are a critical component of the global C cycle. They are different from other boreal forests in that they are comprised of a single tree genus (Larix spp.), with a deciduous growth habit, that often grows on continuous permafrost. Thus, their response to warming climate and an altered fire regime is likely to differ from boreal forests in other regions. Our current knowledge of their ecology and potential susceptibility to climate change remains limited because of logistical constraints associated with conducting research in Siberia and minimal translations of Russian scientific efforts into English. Uncertainties regarding current C pools in Siberian boreal forests remain a significant factor affecting our ability to predict climate-induced changes to the global C cycle. By comparing results to the relatively well-studied boreal forests of interior Alaska, the study will further our ability to detect whether boreal response to changing fire is similar across zones differing in permafrost characteristics and vegetation types, or whether more detailed studies are needed for accurate modeling of ecosystem response to climate change. The study will contribute to our understanding of how boreal fires impact global C cycling and provide essential data necessary for scaling-up boreal forest C pools, estimating C emissions from boreal fires, and calibrating predictive models of future global C cycling. Broader Impacts: The research will advance our understanding of Siberian larch forests, an important yet understudied ecosystem, while advancing the teaching and mentoring skills of a post- doctoral researcher. The post-doctoral fellow?s research activities, methodologies, and findings will be integrated into the education of undergraduate students through participation in the NSF-funded Polaris Project lecture series and discussion groups and by mentoring of an undergraduate field assistant in ecosystem ecology. Basing field research out of the Northeast Science Station in the Russian Far Northeast will provide a venue for building partnerships between the post-doctoral fellow, other arctic researchers from the U.S., and Russian collaborators. The collaborations will be used to integrate research findings with Russian scientific efforts. Scientific findings resulting from the proposed research will be widely disseminated through publications in scientific journals, presentations at international conferences, and more informally, through postings on the post-doctoral researcher?s web page. Active layer and soil moisture measurements will be submitted to the Circumpolar Active Layer Monitoring network to provide critical data for model validations and scaling-up of climate change impacts on boreal forest ecosystems."," Scientific findings resulting from the proposed research will be widely disseminated through publications in scientific journals, presentations at international conferences, and more informally, through postings on the post-doctoral researcher",,
https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2011JD016460%4010.1002/%28ISSN%292169-8996.OASIS1,10.1029/2011JD016186,y,3,http://arcticdata.io/catalog/view/urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,"The grant, a collaboration between 0632131 (Sturm, CRREL, LEAD), 0632160 (Kane, UAF) and 0632133/1023562 (Liston, CSU; Hiemstra, CRREL). The chief goal is working to develop better instruments and ways of measuring snow in the Arctic, and analyzing the resultant data. At sites at Barrow, Imnavait Creek, Fox, and Nome Creek Alaska, and in Inuvik, Canada the team has installed meteorological and snow measuring instrumentation including solid-state snow pillows, heated plate precipitation sensors, snow fences (to capture the wind-blown flux), and normal and eddy correlation meteorological towers for monitoring snowfall and snow on the ground. In addition to these autonomous instruments, the team periodically runs intense field campaigns during which a variety snow surveys are conducted, including surveys of snow cover depth, snow water equivalent, density, stratigraphy and other properties. These ground-based surveys are being augmented using aerial photography and ground- and airborne LiDAR. Part of the project is also focused on developing new types of sensors and techniques, including the development of small, low-cost sonic sounders for depth, rotating sonic sounders for better averages of depth, and airborne and ground-based light detection and ranging (LiDAR) for extensive snow depth and surface topography. The combined suite of instrument development and measurement protocols is designed to allow closure of the winter water balance and lead to better ways of monitoring Arctic snow for climate. Within the U.S., this improvement in monitoring would directly benefit the National Resource Conservation Service (NRCS), one of the prime agencies charged with monitoring precipitation and snow cover, as well as the U.S. Weather Service. In addition, the project is contributing to the education of several graduate students, and has had positive impact on the general public through the publication of an English-Inupiat glossary as well as two other books and several papers on the Arctic. The project data on ACADIS have been separated into time series data as reported from the autonomous instruments like weather stations and webcams, and intermittent data from field campaigns collected by humans. These latter appear by campaign date. Because the data come from five (5) different Arctic locations, and at each location have been obtained from a spatial extent that ranges from a few to hundreds of kilometers, a data user is advised to contact the Project Leader (Dr. M. Sturm, matthew.sturm@usace.army.mil) for specific metadata information. A file called aSnowNetReadme.pdf provides an overview of the concept of the project as well as details about the observatory sites."," In addition, the project is contributing to the education of several graduate students, and has had positive impact on the general public through the publication of an English-Inupiat glossary as well as two other books and several papers on the Arctic","not self cite, in acknowledgments",
https://www.sciencedirect.com/science/article/pii/S0009254114002514,10.1016/j.chemgeo.2014.05.012,y,3,http://arcticdata.io/catalog/view/urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,"The grant, a collaboration between 0632131 (Sturm, CRREL, LEAD), 0632160 (Kane, UAF) and 0632133/1023562 (Liston, CSU; Hiemstra, CRREL). The chief goal is working to develop better instruments and ways of measuring snow in the Arctic, and analyzing the resultant data. At sites at Barrow, Imnavait Creek, Fox, and Nome Creek Alaska, and in Inuvik, Canada the team has installed meteorological and snow measuring instrumentation including solid-state snow pillows, heated plate precipitation sensors, snow fences (to capture the wind-blown flux), and normal and eddy correlation meteorological towers for monitoring snowfall and snow on the ground. In addition to these autonomous instruments, the team periodically runs intense field campaigns during which a variety snow surveys are conducted, including surveys of snow cover depth, snow water equivalent, density, stratigraphy and other properties. These ground-based surveys are being augmented using aerial photography and ground- and airborne LiDAR. Part of the project is also focused on developing new types of sensors and techniques, including the development of small, low-cost sonic sounders for depth, rotating sonic sounders for better averages of depth, and airborne and ground-based light detection and ranging (LiDAR) for extensive snow depth and surface topography. The combined suite of instrument development and measurement protocols is designed to allow closure of the winter water balance and lead to better ways of monitoring Arctic snow for climate. Within the U.S., this improvement in monitoring would directly benefit the National Resource Conservation Service (NRCS), one of the prime agencies charged with monitoring precipitation and snow cover, as well as the U.S. Weather Service. In addition, the project is contributing to the education of several graduate students, and has had positive impact on the general public through the publication of an English-Inupiat glossary as well as two other books and several papers on the Arctic. The project data on ACADIS have been separated into time series data as reported from the autonomous instruments like weather stations and webcams, and intermittent data from field campaigns collected by humans. These latter appear by campaign date. Because the data come from five (5) different Arctic locations, and at each location have been obtained from a spatial extent that ranges from a few to hundreds of kilometers, a data user is advised to contact the Project Leader (Dr. M. Sturm, matthew.sturm@usace.army.mil) for specific metadata information. A file called aSnowNetReadme.pdf provides an overview of the concept of the project as well as details about the observatory sites."," In addition, the project is contributing to the education of several graduate students, and has had positive impact on the general public through the publication of an English-Inupiat glossary as well as two other books and several papers on the Arctic","not self cite, in acknowledgments",
https://www.cambridge.org/core/journals/journal-of-glaciology/article/windblown-flux-rates-derived-from-drifts-at-arctic-snow-fences/01BF704E4EA6442FD3AD57005C716A19,10.3189/2013JoG12J110,y,3,http://arcticdata.io/catalog/view/urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,"The grant, a collaboration between 0632131 (Sturm, CRREL, LEAD), 0632160 (Kane, UAF) and 0632133/1023562 (Liston, CSU; Hiemstra, CRREL). The chief goal is working to develop better instruments and ways of measuring snow in the Arctic, and analyzing the resultant data. At sites at Barrow, Imnavait Creek, Fox, and Nome Creek Alaska, and in Inuvik, Canada the team has installed meteorological and snow measuring instrumentation including solid-state snow pillows, heated plate precipitation sensors, snow fences (to capture the wind-blown flux), and normal and eddy correlation meteorological towers for monitoring snowfall and snow on the ground. In addition to these autonomous instruments, the team periodically runs intense field campaigns during which a variety snow surveys are conducted, including surveys of snow cover depth, snow water equivalent, density, stratigraphy and other properties. These ground-based surveys are being augmented using aerial photography and ground- and airborne LiDAR. Part of the project is also focused on developing new types of sensors and techniques, including the development of small, low-cost sonic sounders for depth, rotating sonic sounders for better averages of depth, and airborne and ground-based light detection and ranging (LiDAR) for extensive snow depth and surface topography. The combined suite of instrument development and measurement protocols is designed to allow closure of the winter water balance and lead to better ways of monitoring Arctic snow for climate. Within the U.S., this improvement in monitoring would directly benefit the National Resource Conservation Service (NRCS), one of the prime agencies charged with monitoring precipitation and snow cover, as well as the U.S. Weather Service. In addition, the project is contributing to the education of several graduate students, and has had positive impact on the general public through the publication of an English-Inupiat glossary as well as two other books and several papers on the Arctic. The project data on ACADIS have been separated into time series data as reported from the autonomous instruments like weather stations and webcams, and intermittent data from field campaigns collected by humans. These latter appear by campaign date. Because the data come from five (5) different Arctic locations, and at each location have been obtained from a spatial extent that ranges from a few to hundreds of kilometers, a data user is advised to contact the Project Leader (Dr. M. Sturm, matthew.sturm@usace.army.mil) for specific metadata information. A file called aSnowNetReadme.pdf provides an overview of the concept of the project as well as details about the observatory sites."," In addition, the project is contributing to the education of several graduate students, and has had positive impact on the general public through the publication of an English-Inupiat glossary as well as two other books and several papers on the Arctic",,
https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2003GL019003,10.1029/2003GL019003,y,1,http://arcticdata.io/catalog/view/doi:10.18739/A2901ZG3N,doi:10.18739/A2901ZG3N,"The 5 kilometer (km) Arctic Ocean Dynamics-based Tide Model published in 2004 (AODTM5) is a barotropic tide model on a polar stereographic grid. Model development is described by Padman and Erofeeva (2004) (https://doi.org/10.1029/2003GL019003). The bathymetry grid is based on the original International Bathymetric Chart of the Arctic Ocean (IBCAO) bathymetry (Jakobsson et al., 2000; https://doi.org/10.1029/00EO00059). AODTM5 consists of grids of sea surface height (SSH) and depth-integrated currents (“volume transports”) for each of 8 tidal constituents; 4 semidiurnal (M2, S2, K2, N2) and 4 diurnal (K1, O1, P1, Q1). The model solves the depth-integrated shallow water equations, with forcing at open ocean boundaries from the TOPEX/Poseidon global barotropic tidal solution version 6.2 (TPXO.6.2) and local astronomical forcing (“potential tides”). Each constituent in AODTM5 was tuned, separately, to Arctic tide height data by optimizing the linear drag coefficient.  As a dynamics-based model, AODTM5 is self-consistent: within the constraints of the simplified physics, heights and currents are determined by the bathymetric grid and the imposed forcing. Two other tide models are available at the Arctic Data Center; the Arctic Ocean Inverse Tide Model on a 5 km grid (AOTIM5) (also described by Padman and Erofeeva, 2004) and an updated version created in 2018 (Arc5km2018). These two models are “inverse” models, assimilating tide gauge, bottom pressure recorder and satellite altimetry estimates of SSH. We expect these data assimilation models to provide more accurate predictions of SSH. However, they do not necessarily provide better predictions of depth-averaged currents. We recommend that users compare results from all three models (AODTM5, AOTIM5 and Arc5km2018) before deciding which to use for a specific application. Please also check the ESR Polar Tide Model webpage (https://www.esr.org/research/polar-tide-models/) for more recent Arctic barotropic tide models.  Padman, L., and S. Erofeeva (2004), A barotropic inverse tidal model for the Arctic Ocean, Geophysical Research Letters, 31(2), L02303, doi:10.1029/2003GL019003.",The 5 kilometer (km) Arctic Ocean Dynamics-based Tide Model published in 2004 (AODTM5) is a barotropic tide model on a polar stereographic grid,article describing model development has 173 citations,
,10.1029/98JD02517,y,1,http://arcticdata.io/catalog/view/urn:uuid:b97a69fc-e002-4505-b089-b4f6d373f080,urn:uuid:b97a69fc-e002-4505-b089-b4f6d373f080,"The Arctic Region Climate System Model (ARCSyM, Lynch et al 1995) has been developed for studies of ocean-ice-atmosphere and land-atmosphere interactions in the high latitudes on seasonal to interannual timescales. It was developed from the National Center for Atmospheric Research (NCAR) Regional Climate Model Version 2 (RegCM2, Giorgi et al. 1993), with changes intended to enhance the performance of the model at high latitudes, and to enable studies of the coupled system. More detailed information on the ARCSyM model including detailed parameterizations, model code and publications describing and utilizing ARCSyM may be obtained from the following web site: (http://cires.colorado.edu/arcsym/) It is possible to obtain monthly means as well as higher resolution daily and 6 hourly time steps."," More detailed information on the ARCSyM model including detailed parameterizations, model code and publications describing and utilizing ARCSyM may be obtained from the following web site: (http://cires",,
https://www.brookings.edu/wp-content/uploads/2016/06/30-climate-russia-crate-paper.pdf,,y,9,http://arcticdata.io/catalog/view/doi:10.18739/A2BK16Q2C,doi:10.18739/A2BK16Q2C,"This project's primary objective is to assess the knowledge, resilience &amp;amp; adaptation, and policy needs of rural Viliui Sakha communities, a geographically and ethnically underrepresented group in northeastern Siberia, Russia, who face an uncertain future due to the unprecedented local effects of global climate change (GCC). The project aims to fulfill that objective by partnering with communities to explore local perceptions, responses, and ways to effectively address the local issues of GCC. The project is a four-village, three-year collaborative effort involving participation of village residents, native specialists and field assistants, an in-country research community and international collaborators. The project PI Crate has worked with the targeted communities for sixteen years and is fluent in both the native Sakha and Russian languages. Crate's 2003-2006 community sustainability project revealed that Viliui Sakha inhabitants consider the local effects of GCC to be their most substantial barrier to continued subsistence and residency. The proposed project represents a continuation of that research by assessing knowledge about the local impacts of GCC on the community, regional and Republic levels in order to decipher what is known and what needs to be known to fill knowledge gaps and positively inform community life. The project objectives are to: 1) Develop community-levels rosters of past and present knowledge of and adaptation to climate change; 2) Operationalize those roster data to develop measures and gauge the resilience and adaptive capacity of households and communities facing GCC; 3) Document local elders' knowledge about climate change that is both applicable and pragmatic for use in contemporary village-level adaptive schemes; 4) Survey the relevant western science on GCC (beginning in-country and moving to international) in order to fill the gaps in local knowledge to facilitate community-level adaptation and understanding; 5) Appraise policy efforts at the local, regional, Republic and national levels for their utility and make recommendations accordingly. Methods to be employed include: focus groups, semi-structured interviews, surveys and secondary data analysis. This study integrates research and education by advancing discovery and understanding while at the same time promoting teaching, training, and learning in at least four substantial ways: 1) by conducting our field research with the active participation of four village communities and village-level research assistants; 2) by collaborating with an in-country research team; 3) by working with a research assistant and two graduate students for the project's duration; and 4) by collaborating with an international research partner. By working at the local, regional and Republic levels and through collaborating with the in-country research institute and other partners on climate issues, the project will enhance the infrastructure for research and education networks and partnerships. The project team will disseminate the results of the project widely to enhance scientific and technological understanding via academic and non-academic publications, a project website, and by generating a set of resource materials available to others interested in community based climate change projects. The proposed activity is designed to benefit society on several levels, by increasing the understanding of the local effects of GCC for the targeted communities, by producing resource materials to share that knowledge with other populations, to inform policy decisions, and to enhance research collaborations and exchanges."," The project team will disseminate the results of the project widely to enhance scientific and technological understanding via academic and non-academic publications, a project website, and by generating a set of resource materials available to others interested in community based climate change projects",full publication record of this project (sans one paper) found https://federalreporter.nih.gov/Projects/Details/?projectId=103484&ItemNum=148&totalItems=111769&searchId=b850241613a74a58962c0bd1a1edd5d4&searchMode=Smart&page=6&pageSize=25&sortField=ProjectNum&sortOrder=asc&filters=$Department;NSF&navigation=True                   <-- INVESTIGATE REPLICATING / AUTOMATING THIS!,
https://www.researchgate.net/publication/275595340_A_Methodological_Model_for_Exchanging_Local_and_Scientific_Climate_Change_Knowledge_in_Northeastern_Siberia,10.14430/arctic4312,y,9,http://arcticdata.io/catalog/view/doi:10.18739/A2BK16Q2C,doi:10.18739/A2BK16Q2C,"This project's primary objective is to assess the knowledge, resilience &amp;amp; adaptation, and policy needs of rural Viliui Sakha communities, a geographically and ethnically underrepresented group in northeastern Siberia, Russia, who face an uncertain future due to the unprecedented local effects of global climate change (GCC). The project aims to fulfill that objective by partnering with communities to explore local perceptions, responses, and ways to effectively address the local issues of GCC. The project is a four-village, three-year collaborative effort involving participation of village residents, native specialists and field assistants, an in-country research community and international collaborators. The project PI Crate has worked with the targeted communities for sixteen years and is fluent in both the native Sakha and Russian languages. Crate's 2003-2006 community sustainability project revealed that Viliui Sakha inhabitants consider the local effects of GCC to be their most substantial barrier to continued subsistence and residency. The proposed project represents a continuation of that research by assessing knowledge about the local impacts of GCC on the community, regional and Republic levels in order to decipher what is known and what needs to be known to fill knowledge gaps and positively inform community life. The project objectives are to: 1) Develop community-levels rosters of past and present knowledge of and adaptation to climate change; 2) Operationalize those roster data to develop measures and gauge the resilience and adaptive capacity of households and communities facing GCC; 3) Document local elders' knowledge about climate change that is both applicable and pragmatic for use in contemporary village-level adaptive schemes; 4) Survey the relevant western science on GCC (beginning in-country and moving to international) in order to fill the gaps in local knowledge to facilitate community-level adaptation and understanding; 5) Appraise policy efforts at the local, regional, Republic and national levels for their utility and make recommendations accordingly. Methods to be employed include: focus groups, semi-structured interviews, surveys and secondary data analysis. This study integrates research and education by advancing discovery and understanding while at the same time promoting teaching, training, and learning in at least four substantial ways: 1) by conducting our field research with the active participation of four village communities and village-level research assistants; 2) by collaborating with an in-country research team; 3) by working with a research assistant and two graduate students for the project's duration; and 4) by collaborating with an international research partner. By working at the local, regional and Republic levels and through collaborating with the in-country research institute and other partners on climate issues, the project will enhance the infrastructure for research and education networks and partnerships. The project team will disseminate the results of the project widely to enhance scientific and technological understanding via academic and non-academic publications, a project website, and by generating a set of resource materials available to others interested in community based climate change projects. The proposed activity is designed to benefit society on several levels, by increasing the understanding of the local effects of GCC for the targeted communities, by producing resource materials to share that knowledge with other populations, to inform policy decisions, and to enhance research collaborations and exchanges."," The project team will disseminate the results of the project widely to enhance scientific and technological understanding via academic and non-academic publications, a project website, and by generating a set of resource materials available to others interested in community based climate change projects",,
