dataset_id_easy,relationType,source_id,cit,identifier,url,target_id,abstract,citation_reference,notes
34,isReferencedBy,10.1002/2013JC009301,y,,http://arcticdata.io/catalog/view/doi:10.18739/A22R3NX1Z,doi:10.18739/A22R3NX1Z,"This data set includes the Biology/Ice/Ocean Modeling and Assimilation System (BIOMAS) simulated monthly mean results for the Arctic Ocean planktonic ecosystem over the period 2004-2018. Also included is a movie that shows monthly variations of a few ecosystem components. BIOMAS is a coupled sea ice, ocean, and marine planktonic ecosystem model (Zhang et al., 2010, 2014) with a model domain over the northern hemisphere north of 49 deg N. The mean horizontal resolution for most of the Arctic Ocean is about 22 km. This biophysical model is driven by the National Centers for Environmental Prediction/National Center for Atmospheric Research (NCEP/NCAR) reanalysis forcing. Supported by NSF grants: ARC 0629326, ARC 0629095, ARC 0629234, ARC 0629359, PLR 1416920, PLR 1417339, and PLR 1417677.  References:  Zhang, J., Y. Spitz, M. Steele, C. Ashjian, R. Campbell, L. Berline, and P. Matrai, Modeling the impact of declining sea ice on the Arctic marine planktonic ecosystem, J. Geophys Res., 115, C10015, doi: 10.1029/2009JC005387, 2010.  Zhang, J., C. Ashjian, R. Campbell, V. Hill, Y.H. Spitz, and M. Steele, The great 2012 Arctic Ocean summer cyclone enhanced biological productivity on the shelves, J. Geophy. Res., 119, 1-16, doi:10.1002/2013JC009301, 2014."," BIOMAS is a coupled sea ice, ocean, and marine planktonic ecosystem model (Zhang et al", 
40,isReferencedBy,10.1002/2013JF002845,y,,http://arcticdata.io/catalog/view/doi:10.18739/A22804Z93,doi:10.18739/A22804Z93,"Shapefiles and textfiles for Drew Point coast position GPS surveys from Barnhart et al (2014) Barnhart, K. R., R. S. Anderson, I. Overeem, C. Wobus, G. D. Clow, and F. E. Urban (2014), Modeling erosion of ice-rich permafrost bluffs along the Alaskan Beaufort Sea coast, J. Geophys. Res. Earth Surf., 119, 1155â1179, doi:10.1002/2013JF002845. Contact: Katy Barnhart This dataset, described in Barnhart et al. (2014): ""We surveyed the position of the top of the coastal bluff for 7 km to the east of Drew Point using a handheld GPS (Garmin Vista H) set to record position every 10 m (along-track accuracy of 1â2 m) on 18â21 June 2008, 5 August 2011, and 8 August 2012 (Figureâ2)."" This folder contains files for each year: 2008 2011 2013 Each contains a file and a folder 1.drewPointcoastXXXX.txt 2.drewPointcoastXXXX, a folder with a .shp, .shp, .dbf, and .proj","c(""Shapefiles and textfiles for Drew Point coast position GPS surveys from Barnhart et al (2014) Barnhart, K"", "" Contact: Katy Barnhart This dataset, described in Barnhart et al"")", 
36,isReferencedBy,10.1002/gbc.20038,y,,http://arcticdata.io/catalog/view/doi:10.18739/A25615,doi:10.18739/A25615,"Cation exchange capacity (CEC) and porosity-weighted CEC (Qv) for soils of drained thaw lake basins near Barrow, AK representing young, medium, old and ancient age classes. See Lipson et al. (2013) GBC 27:111.", See Lipson et al, 
33,isReferencedBy,10.1002/ppp.487,y,,http://arcticdata.io/catalog/view/doi:10.5065/D69K48BW,doi:10.5065/D69K48BW,"This data report is a summary of snow-survey information collected during a trip to the Arctic Slope April 12-15, 2004. The data were all collected as part of the Biocomplexity of Frost-Boil Ecosystems study (Walker et al. 2004). Snow is an important factor affecting soil-surface temperatures during the winter. These data will be used to help model the influence of snow on frost heave. The data collected included 1. Snow depth and soil temperature information from 97 of the 117 permanent plots (releves) that are part of a vegetation classification study. 2. Snow density and snow-water-equivalent (SWE) measurements from the midpoints of the four sides of each of ten 10x10-m grids at Happy Valley, Sagwon, Franklin Bluffs, and Deadhorse. We were not able to access the grids on B.P.-leased lands atWest Dock, and Howe Island, because we did not have B.P.'s ""authorization to proceed"". 3. Snow depths at every meter within each of the ten grids. 4. Snow profile descriptions from each of the ten grids. 5. Heave measurements from iron re-bar at releve sites and V. Romanovsky heave meters. 6. Snow depth measurements every 100 m within 1 x 1 km plot and at 45 permanent plots at Happy Valley.", The data were all collected as part of the Biocomplexity of Frost-Boil Ecosystems study (Walker et al, 
1,isReferencedBy,10.1007/s10533-013-9864-y,y,,http://arcticdata.io/catalog/view/doi:10.18739/A2J920,doi:10.18739/A2J920,"A methane flux experiment was conducted in 4.5 cm internal diameter cores collected from approximately 5.5 m in Lake GTH 112. Cores were collected and overlying water was replaced with acetate treated water or Control water (Lake GTH 112 hypolimnetic water). Acetate concentrations were 0.2 mM (low acetate) or 2 mM (high acetate) 13C labeled 1-acetate and 13C labeled 2-acetate amendments in GTH 112 hypolimnetic water. Cores were incubated for 4 weeks at ambient Toolik Lake temperature (about 15 deg C),core water was replaced with Lake GTH 112 hypolimnetic water and CH4 flux was measured at 8 deg C over 24 h (ambient O2 condition). Following 24-h flux measurement, overlying water was replaced with N2 purged water (anoxic condition) and CH4 flux was again measured over 24 h. Data report 24 h flux measurement under ambient and anoxic conditions for each treatment (details reported in Hershey et al. 2013 Biogeochemistry 10.1007/s10533-013-9864-y).", Data report 24 h flux measurement under ambient and anoxic conditions for each treatment (details reported in Hershey et al, 
2,isReferencedBy,10.1007/s10533-013-9864-y,y,,http://arcticdata.io/catalog/view/doi:10.18739/A2605X,doi:10.18739/A2605X,"A methane flux experiment was conducted in 4.5 cm internal diameter cores collected from approximately 5.5 m in Lake GTH 112. Cores were collected and overlying water was replaced with acetate treated water or Control water (Lake GTH 112 hypolimnetic water). Acetate concentration was 0.1 mM 13C labeled 1-acetate, 13C labeled 2-acetate, and unlabeled acetate amendments in GTH 112 hypolimnetic water. Cores were incubated for 1 week at 8 deg C,core water was replaced with Lake GTH 112 hypolimnetic water and CH4 flux and 13C-CH4 were measured at 8 deg C over 24 h (ambient O2 condition). CO2 flux and 13C CO2 were also measured. Details reported in Hershey et al. 2013 Biogeochemistry 10.1007/s10533-013-9864-y.", Details reported in Hershey et al, 
37,isReferencedBy,10.1007/s10533-013-9864-y,y,,http://arcticdata.io/catalog/view/doi:10.18739/A22918,doi:10.18739/A22918,CH4 flux (mmol/m2/d) over 24 h was measured from unamended intact cores (4.5 cm diameter) incubated at 8 deg C during July of 2008 - 2011 to measure interannual variation in CH4. Cores were collected from approximately 5.5 m in Lake GTH 112. Details of core incubation and sampling are as described in Hershey et al. 2013 (Biogeochemistry)., Details of core incubation and sampling are as described in Hershey et al, 
39,isReferencedBy,10.1016/j.gca.2013.06.018,y,,http://arcticdata.io/catalog/view/doi:10.18739/A29K45T24,doi:10.18739/A29K45T24,"Electronic appendices containing theoretical predictions of equilibrium clumped isotope fractionations from Hill et al., 2014, Theoretical constraints on the effects of pH, salinity, and temperature on clumped isotope signatures of dissolved inorganic carbon species and precipitating carbonate minerals, Geochimica et Cosmochimica Acta, 125, 610.",Electronic appendices containing theoretical predictions of equilibrium clumped isotope fractionations from Hill et al, 
35,isReferencedBy,10.1017/aog.2016.5,y,,http://arcticdata.io/catalog/view/doi:10.18739/A27G2X,doi:10.18739/A27G2X,"This dataset contains time-series measurements of simultaneous
        borehole water and drill water temperature, measured in an instrumented
        drill stem during hot water drilling of boreholes in western Greenland.
        Ice deformation is concentrated at depth, and the processes dictating
        ice sheet sliding depend on the physical condition of the ice sheet bed,
        but the remote nature of deep ice conditions severely limits observation.
        This motivates novel measurements to maximize the information content in
        boreholes which directly access the ice sheet bed but are logistically
        and technically challenging. Time series of borehole water temperatures
        provide an additional test of the abruptness of the basal boundary
        (Harper et al., 2017), and thermal dissipation is also used as a measure
        to constrain resident water volume at the ice sheet bed (Meierbachtol et
        al., 2016).  Harper J, Humphrey N, Meierbachtol T, Graly J and Fischer U (2017) Borehole Measurements Indicate Hard Bed Conditions, Kangerlussuaq Sector, Western Greenland Ice Sheet. J. Geophys. Res. Earth Surf. (doi:10.1002/2017JF004201)  Meierbachtol TW, Harper JT, Humphrey NF and Wright PJ (2016) Mechanical forcing of water pressure in a hydraulically isolated reach beneath Western Greenland ablation zone. Ann. Glaciol. 57(72), 62-70 (doi:10.1017/aog.2016.5)"," Time series of borehole water temperatures
        provide an additional test of the abruptness of the basal boundary
        (Harper et al", 
112,isReferencedBy,10.1017/jog.2019.43,y,,http://arcticdata.io/catalog/view/doi:10.18739/A2PC2T86B,doi:10.18739/A2PC2T86B,"Ocean waters penetrate below the floating ice shelf of Petermann Gletscher about 50 kilometers from its terminus towards the grounding zone of the glacier. Hot-water drilling from the surface of the glacier provided access to the ocean below it. In August of 2015 three such access holes were drilled by the British Antarctic Survey about 3 kilometers, 16 kilometers, and 26 kilometers from the grounding zone near the center of the floating glacier. The files here contain 5 profiles in its raw and native resolution of 16 Hertz during both down- and up-cast to allow for careful investigation of both the interface between glacier and ocean and fine-structure within the ocean. A subset of the data were used and explained as Washam et al. (2019) in the Journal of Glaciology. Sediment cores were recovered at the same location and times.", A subset of the data were used and explained as Washam et al, 
