article_id,article_doi,abs_or_full,dataset_doi,cit_location,cit_type,found_by,notes,submitted to metrics,manually submitted,appears on ADC
2,doi:10.1371/journal.pone.0231178,fulltext,doi:10.18739/A2HH6C58X,references,Cites,Maya,,,,
2,doi:10.1371/journal.pone.0231178,fulltext,doi:10.18739/A2BR8MG32,references,Cites,Maya,,,,
2,doi:10.1371/journal.pone.0231178,fulltext,doi:10.18739/A2WH2DF2X,references,Cites,Maya,,,,
2,doi:10.1371/journal.pone.0231178,fulltext,doi:10.18739/A2XD0QX8B,references,Cites,Maya,,,,
2,doi:10.1371/journal.pone.0231178,fulltext,doi:10.18739/A2804XK1F,references,Cites,Maya,,,,
5,doi:10.1016/j.dsr2.2019.04.005,fulltext,doi:10.5065/D6416V3G,references,Cites,Erika,,,,
5,doi:10.1016/j.dsr2.2019.04.005,fulltext,doi:10.18739/A2KK94B8Q,references,Cites,Erika,,,,
5,doi:10.1016/j.dsr2.2019.04.005,fulltext,doi:10.5065/D63X84PT,references,Cites,Erika,,,,
5,doi:10.1016/j.dsr2.2019.04.005,fulltext,doi:10.5065/D6M043GJ,references,Cites,Erika,,,,
7,doi:10.1016/j.dsr2.2018.10.008,fulltext,"Grebmeier, J.M., Cooper, L.W., 2017. SWL13 Benthic Macrofaunal Parameters (doi in progress)",references,Cites,Erika,,,,
7,doi:10.1016/j.dsr2.2018.10.008,fulltext,doi:10.18739/A2N29P67H,general,isReferencedBy,Erika,"references the ""DBO data archive at the NSF Arctic Data Center for the 2013 SWL cruise"" -- i tried to find datasets related to this. this one relates to ""benthic macrofauna"" which is referenced multiple times in the paper. not sure if data is from this set specifically though.",,,
7,doi:10.1016/j.dsr2.2018.10.008,fulltext,doi:10.18739/A24746R53,general,isReferencedBy,Erika,"this one relates to ""chlorophyll"" which is referenced multiple times in the paper. not sure if data is from this set specifically though.",,,
7,doi:10.1016/j.dsr2.2018.10.008,fulltext,doi:10.1016/j.dsr2.2018.10.008 (cited version) or doi:10.5065/D6VM49BM (latest version),references,Cites,Erika,not DBO but is ADC,,,
8,doi:10.1016/j.dsr2.2019.01.002,fulltext,doi:10.18739/A28W3827B,general,isReferencedBy,Erika,"the article says ""Samples were collected during a cruise of the Canadian Coast Guard Ship (CCGS) Sir Wilfrid Laurier in July 2015, at five DBO areas"" -- so i tried to find SWL2015 data. i was unable to find if any of this data was specifically mentioned in the article, but have listed them in order of most to least related to the best of my ability.",,,
8,doi:10.1016/j.dsr2.2019.01.002,fulltext,doi:10.18739/A20000081,general,isReferencedBy,Erika,see above,,,
8,doi:10.1016/j.dsr2.2019.01.002,fulltext,doi:10.18739/A2HH6C58X,general,isReferencedBy,Erika,see above,,,
8,doi:10.1016/j.dsr2.2019.01.002,fulltext,doi:10.18739/A2ZW18S38,general,isReferencedBy,Erika,see above,,,
10,doi:10.1016/j.dsr2.2018.10.007,fulltext,doi:10.18739/A2736M23F,general,isReferencedBy,Erika,"Methods: ""Macrobenthic samples from the DBO1 region and DBO3 region were collected during spring-to-fall cruises on the RV Alpha Helix (HX) and/or CCGS Sir Wilfrid Laurier (SWL) between 1998 and 2014"" -- for this reason, i've included the datasets on macroinfaunal data from SWL from 2012-2014 (i checked the data in these sets and they all mention M. calcarea -- the species of interest)",,,
10,doi:10.1016/j.dsr2.2018.10.007,fulltext,doi:10.18739/A2N29P67H,general,isReferencedBy,Erika,see above,,,
10,doi:10.1016/j.dsr2.2018.10.007,fulltext,doi:10.18739/A2ZG6G71C,general,isReferencedBy,Erika,see above,,,
11,doi:10.1016/j.dsr2.2018.06.010,fulltext,doi:10.5065/D6C24TGR,references,Cites,Erika,not DBO but is ADC,,,
11,doi:10.1016/j.dsr2.2018.06.010,fulltext,doi:10.5065/D6FT8J2S,references,Cites,Erika,not DBO but is ADC,,,
11,doi:10.1016/j.dsr2.2018.06.010,fulltext,doi:10.5065/D6F47M5P,references,Cites,Erika,not DBO but is ADC,,,
11,doi:10.1016/j.dsr2.2018.06.010,fulltext,urn:uuid:a8194ad0-edb5-47bd-8fa1-33c24ed986d7,references,Cites,Erika,not DBO but is ADC,,,
11,doi:10.1016/j.dsr2.2018.06.010,fulltext,doi:10.5065/D6VD6WHK,references,Cites,Erika,not DBO but is ADC,,,
11,doi:10.1016/j.dsr2.2018.06.010,fulltext,doi:10.5065/D6416V3G,references,Cites,Erika,"not DBO but is ADC, (version: urn:uuid:26786355-86f3-4554- 8e68-a5b668fd2698)",,,
11,doi:10.1016/j.dsr2.2018.06.010,fulltext,doi:10.5065/D6QN6544,references,Cites,Erika,not DBO but is ADC (version: urn:uuid:8400608d-cecd-4b48-a446-4dacf4b43435),,,
11,doi:10.1016/j.dsr2.2018.06.010,fulltext,doi:10.18739/A22V25,references,Cites,Erika,doi:10.18739/A23B5W875 (latest version),,,
16,doi:10.5194/os-14-1423-2018,fulltext,doi:10.18739/A23B5W875,general,isReferencedBy,Erika,"these 3 sets match the year span of data collection (2015-2016) and all include ""chuckchi,"" ""ecosystem,"" and ""observatory."" i couldn't find anything in the article specifically indicating the use of these sets though, only the DBO in general seems to be cited: ""The exact observatory siting and our ecological understanding of the greater region is based on many years of multi- disciplinary sampling on the NE Chukchi shelf, including those of the Chukchi Sea Environmental Studies Program (Day et al., 2013), the Chukchi Offshore Monitoring in Drilling Area (Dunton et al. 2014), and the Distributed Biological Observatory (DBO; Moore and Grebmeier, 2018).""",,,
16,doi:10.5194/os-14-1423-2018,fulltext,doi:10.5065/D6QN6544,general,isReferencedBy,Erika,"see above, latest version: doi:10.18739/A20000081",,,
16,doi:10.5194/os-14-1423-2018,fulltext,doi:10.5065/D6KW5DDD,general,isReferencedBy,Erika,"see above, latest version: doi:10.18739/A2HH6C58X",,,
17,doi:10.5670/oceanog.2018.224,fulltext,doi:10.18739/A2GH9B88P,general,isReferencedBy,Erika,"some key words i looked into: chlorophyll, sir wilfred laurier, cooper (author), 2012, 2015, bering -- this dataset isReferencedBy most of those which is why i added it. i tried to look into information surround the area where it says ""Metafiles and associated data sets are available through the NSF Arctic Data Center (https://arcticdata.io/)"" but i couldnt find exactly the ones they seemed to be talking about",,,
20,10.1007/s00300-017-2179-z,fulltext,doi:10.5065/D60C4SVZ,references,Cites,Erika,not DBO but is ADC,,,
20,10.1007/s00300-017-2179-z,fulltext,doi:10.5065/D6H70CVR,references,Cites,Erika,not DBO but is ADC,,,
21,doi:10.5670/oceanog.2015.61,fulltext,doi:10.18739/A23B5W786,general,isReferencedBy,Erika,"not positive if this one specifically is used, but there is a lot the indicate that it is at least somewhat used -- the article says it isReferencedBy RUSALCA Sept. 2012 data, which this set has",,,
22,doi:10.1007/978-94-017-8863-2_10,fulltext,doi:10.18739/A27W6758K,general,isReferencedBy,Erika,"not positive if this one specifically is used, but it matches a lot of keywords (like zooplankton, Chukchi Sea, etc) used in the article plus a commonly cited DBO-related year (2012), so I'm including it here since it could potentially be related. however, the article never mentions sir wilfred laurier like this dataset does, so that could mean this data wasnt used.",,,
