article_link,article_doi,dataset_doi,cit_location,relationType,submitted to metrics,manually submitted,appears on ADC,finder,notes
https://www.essoar.org/doi/abs/10.1002/essoar.10502530.1,10.1002/essoar.10502530.1,10.18739/A26M3340D,no direct citation,isReferencedBy,y,,n,Erin,"direct citation not found, but data does look relevant"
https://www.essoar.org/doi/abs/10.1002/essoar.10502530.1,10.1002/essoar.10502530.1,10.18739/A2BC3SX4R,no direct citation,isReferencedBy,y,,n,Erin,"direct citation not found, but data does look relevant"
https://www.essoar.org/doi/abs/10.1002/essoar.10502530.2,10.1002/essoar.10502530.2,10.18739/A2RS9B,references,Cites,y,,n,Erin,
https://www.essoar.org/doi/abs/10.1002/essoar.10502530.2,10.1002/essoar.10502530.2,10.18739/A2N37R,references,Cites,y,,n,Erin,
https://climatechangeresponses.biomedcentral.com/articles/10.1186/s40665-016-0017-0,10.1186/s40665-016-0017-0,10.18739/A2WM13T76,acknowledgements,References,y,,n,Maya,
https://link.springer.com/article/10.1007/s13280-019-01295-7#Sec2,10.1007/s13280-019-01295-7,10.18739/A2M32N95V.,references,Cites,y,,n,Jasmine,
In press,10.1088/1748-9326/ab897f,10.18739/A24T6F404,references,Cites,y,,n,Jasmine,set of 3 tree ring data not published with doi yet
In press,10.1088/1748-9326/ab897f,10.18739/A2125Q975,references,Cites,y,,n,,
In press,10.1088/1748-9326/ab897f,10.18739/A2W950P25,references,Cites,y,,n,,
https://essd.copernicus.org/articles/8/199/2016/essd-8-199-2016.pdf,10.5194/essd-8-199-2016,10.5065/D61J97TT,"data availability, abstract",References,y,,n,Jeanette,
https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018GL079873,10.1029/2018GL079873,10.18739/A27C51,acknowledgements,References,y,,n,Erin,Not sure what dataset matches
https://academic.oup.com/condor/article/doi/10.1093/condor/duaa026/5857122#204642195,10.1093/condor/duaa026,10.18739/A28P5V92S,Methods,References,y,,n,Erin,
In press,10.5194/cp-2019-164,10.18739/A2599Z26M,,isReferencedBy,,,,Jasmine,"currently in pre-print, will update when dataset pre-assigned doi"
https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.15193,10.1111/gcb.15193,10.18739/A26H4CQ8J,acknowledgements,References,,,,Erin,3 more datasets mentioned!!!
https://www.sciencedirect.com/science/article/abs/pii/S0277379120304005#ec-research-data,10.1016/j.quascirev.2020.106438,10.18739/A2DZ03215,data research,References,,,,Erin,
https://onlinelibrary.wiley.com/doi/abs/10.1111/bor.12038,10.1111/bor.12038,10.18739/A24F1MK0B,??,isReferencedBy,,,,Erin,
https://www.essoar.org/doi/abs/10.1002/essoar.10503727.1,10.1002/essoar.10503727.1,urn:uuid:b6ae4b36-1324-4548-816e-c9ee94ff0ca3,??,isReferencedBy,,,,Erin,private dataset....
https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GL088854?casa_token=OM27edzkdrEAAAAA%3AbI7Wo8dhhoZfnx9Swcq2lG_aaxO-1muhSwfraO9YIlIfI6kI4LkAi5bbpSLt-DOqR_0WVBxOSJlkIICh,10.1029/2020GL088854,10.18739/A2CC0TT8X,acknowledgements,References,,,,Erin,
https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11564,10.1002/lno.11564,10.18739/A2J09W47G.,none,isReferencedBy,,,,Erin,
https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GL089469,10.1029/2020GL089469,10.18739/A2H12V81B,open research,References,,26-Sep,,erin,
https://www.nature.com/articles/s41597-020-00578-z#Sec5,10.1038/s41597-020-00578-z,10.18739/A26M3340D,Data Records,References,,"9/22, 9/26",n,Erin,
https://link.springer.com/article/10.1007/s10021-020-00541-4#author-information,10.1007/s10021-020-00541-4,urn:uuid:3c55fe83-77a8-4631-8f03-62f49eced59d,Additional Info,References,,,,Erin,
https://www.researchgate.net/publication/334327012_Summer_surface_melt_thins_Petermann_Gletscher_Ice_Shelf_by_enhancing_channelized_basal_melt,10.1017/jog.2019.43,urn:uuid:5acb2af9-115c-43b3-a0fd-226aa3531993,not specifically cited (paper published before dataset deposited with Arctic Data Center),isReferencedBy,,,,Jasmine,datasets not yet published
,10.1029/2020JC016427,urn:uuid:5acb2af9-115c-43b3-a0fd-226aa3531993,,isReferencedBy,,,,Jasmine,dataset and paper not yet published
,10.1002/2014JD021977,urn:uuid:7571527a-62c3-472d-8698-3cad98b3ea5e,,isReferencedBy,y,14-Oct,,Jasmine,dataset not published yet
https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2020JD032932,10.1029/2020JD032932,10.18739/A2J09W45H,Open Research,References,,,,,
,10.1029/2020JD032932,urn:uuid:867af2d5-a9a9-4a7c-b171-1e3935869ef2,,isReferencedBy,,,,Jasmine,dataset not published yet
,10.1029/2020JD032932,10.18739/A2ST7DX28,,isReferencedBy,,,,Maya,"paper not yet printed, researcher says they will add a citation once it is"
https://aslopubs.onlinelibrary.wiley.com/doi/10.1002/lno.11626,10.1002/lno.11626,10.18739/A20P0WR15,None,isReferencedBy,,,,Sarah,"Does not mention dataset, but does seem to be the same!"
https://onlinelibrary.wiley.com/doi/10.1111/gcb.15507,10.1111/gcb.15507,urn:uuid:b896a07d-8789-4662-bc01-84cb784f7943,references,Cites,,,,Maya,
https://cdnsciencepub.com/doi/abs/10.1139/cjfr-2020-0483?journalCode=cjfr,10.1139/cjfr-2020-0483,10.18739/A2736M18D,references,Cites,,,,Maya,
